# fixture: world-nonzero-zone-origin
# engine: EnergyPlus, Version 26.1.0-6f2e40d102
# frame: Vertices are shown starting at Upper-Left-Corner => Counter-Clockwise => World Coordinates
# mirrored shading surfaces dropped: 21
# engine-created interzone surfaces dropped: 0
# surfaces with no vertices dropped: 0
# generated by checks/geometry-vertices/regenerate.py; do not hand-edit
# rows are ragged by design: three columns per vertex, vertex_count of them
kind,name,surface_class,base_surface,vertex_count,vertices
HeatTransfer Surface,ZN002:WALL011:WIN001,Window,ZN002:WALL011,4,130.98,10.28,7.20,130.98,10.28,2.20,133.98,10.28,2.20,133.98,10.28,7.20
HeatTransfer Surface,ZN002:WALL012,Wall,,4,135.38,10.28,10.00,135.38,10.28,0.00,135.38,7.48,0.00,135.38,7.48,10.00
HeatTransfer Surface,ZN002:WALL013,Wall,,4,135.38,7.48,10.00,135.38,7.48,0.00,141.48,7.48,0.00,141.48,7.48,10.00
HeatTransfer Surface,ZN002:WALL013:WIN001,Window,ZN002:WALL013,4,136.88,7.48,7.20,136.88,7.48,2.20,139.88,7.48,2.20,139.88,7.48,7.20
HeatTransfer Surface,ZN002:WALL014,Wall,,4,141.48,7.48,10.00,141.48,7.48,0.00,141.48,18.38,0.00,141.48,18.38,10.00
HeatTransfer Surface,ZN002:WALL015,Wall,,4,141.48,18.38,10.00,141.48,18.38,0.00,101.98,18.38,0.00,101.98,18.38,10.00
HeatTransfer Surface,ZN002:WALL015:WIN001,Window,ZN002:WALL015,4,140.88,18.38,7.50,140.88,18.38,4.50,104.88,18.38,4.50,104.88,18.38,7.50
HeatTransfer Surface,ZN002:WALL016,Wall,,4,101.98,18.38,10.00,101.98,18.38,0.00,101.98,5.98,0.00,101.98,5.98,10.00
HeatTransfer Surface,ZN002:FLR001,Floor,,16,101.98,5.98,0.00,101.98,18.38,0.00,141.48,18.38,0.00,141.48,7.48,0.00,135.38,7.48,0.00,135.38,10.28,0.00,130.08,10.28,0.00,130.08,5.08,0.00,124.08,5.08,0.00,124.08,8.08,0.00,118.18,8.08,0.00,118.18,4.58,0.00,112.88,4.58,0.00,112.88,8.98,0.00,107.28,8.98,0.00,107.28,5.98,0.00
HeatTransfer Surface,ZN002:ROOF001,Roof,,16,101.98,5.98,10.00,107.28,5.98,10.00,107.28,8.98,10.00,112.88,8.98,10.00,112.88,4.58,10.00,118.18,4.58,10.00,118.18,8.08,10.00,124.08,8.08,10.00,124.08,5.08,10.00,130.08,5.08,10.00,130.08,10.28,10.00,135.38,10.28,10.00,135.38,7.48,10.00,141.48,7.48,10.00,141.48,18.38,10.00,101.98,18.38,10.00
HeatTransfer Surface,ZN003:WALL001,Wall,,4,201.98,5.98,10.00,201.98,5.98,0.00,207.28,5.98,0.00,207.28,5.98,10.00
HeatTransfer Surface,ZN003:WALL001:WIN001,Window,ZN003:WALL001,4,203.08,5.98,7.60,203.08,5.98,2.60,206.08,5.98,2.60,206.08,5.98,7.60
HeatTransfer Surface,ZN003:WALL002,Wall,,4,207.28,5.98,10.00,207.28,5.98,0.00,207.28,8.98,0.00,207.28,8.98,10.00
HeatTransfer Surface,ZN003:WALL003,Wall,,4,207.28,8.98,10.00,207.28,8.98,0.00,212.88,8.98,0.00,212.88,8.98,10.00
HeatTransfer Surface,ZN003:WALL003:WIN001,Window,ZN003:WALL003,4,208.58,8.98,7.50,208.58,8.98,2.50,211.58,8.98,2.50,211.58,8.98,7.50
HeatTransfer Surface,ZN003:WALL004,Wall,,4,212.88,8.98,10.00,212.88,8.98,0.00,212.88,4.58,0.00,212.88,4.58,10.00
HeatTransfer Surface,ZN003:WALL005,Wall,,4,212.88,4.58,10.00,212.88,4.58,0.00,218.18,4.58,0.00,218.18,4.58,10.00
HeatTransfer Surface,ZN003:WALL005:WIN001,Window,ZN003:WALL005,4,214.08,4.58,7.10,214.08,4.58,2.10,217.08,4.58,2.10,217.08,4.58,7.10
HeatTransfer Surface,ZN003:WALL006,Wall,,4,218.18,4.58,10.00,218.18,4.58,0.00,218.18,8.08,0.00,218.18,8.08,10.00
HeatTransfer Surface,ZN003:WALL007,Wall,,4,218.18,8.08,10.00,218.18,8.08,0.00,224.08,8.08,0.00,224.08,8.08,10.00
HeatTransfer Surface,ZN003:WALL007:WIN001,Window,ZN003:WALL007,4,219.58,8.08,7.20,219.58,8.08,2.20,222.58,8.08,2.20,222.58,8.08,7.20
HeatTransfer Surface,ZN003:WALL008,Wall,,4,224.08,8.08,10.00,224.08,8.08,0.00,224.08,5.08,0.00,224.08,5.08,10.00
HeatTransfer Surface,ZN003:WALL009,Wall,,4,224.08,5.08,10.00,224.08,5.08,0.00,230.08,5.08,0.00,230.08,5.08,10.00
HeatTransfer Surface,ZN003:WALL009:WIN001,Window,ZN003:WALL009,4,225.58,5.08,7.20,225.58,5.08,2.20,228.58,5.08,2.20,228.58,5.08,7.20
HeatTransfer Surface,ZN003:WALL010,Wall,,4,230.08,5.08,10.00,230.08,5.08,0.00,230.08,10.28,0.00,230.08,10.28,10.00
HeatTransfer Surface,ZN003:WALL011,Wall,,4,230.08,10.28,10.00,230.08,10.28,0.00,235.38,10.28,0.00,235.38,10.28,10.00
HeatTransfer Surface,ZN003:WALL011:WIN001,Window,ZN003:WALL011,4,230.98,10.28,7.20,230.98,10.28,2.20,233.98,10.28,2.20,233.98,10.28,7.20
HeatTransfer Surface,ZN003:WALL012,Wall,,4,235.38,10.28,10.00,235.38,10.28,0.00,235.38,7.48,0.00,235.38,7.48,10.00
HeatTransfer Surface,ZN003:WALL013,Wall,,4,235.38,7.48,10.00,235.38,7.48,0.00,241.48,7.48,0.00,241.48,7.48,10.00
HeatTransfer Surface,ZN003:WALL013:WIN001,Window,ZN003:WALL013,4,236.88,7.48,7.20,236.88,7.48,2.20,239.88,7.48,2.20,239.88,7.48,7.20
HeatTransfer Surface,ZN003:WALL014,Wall,,4,241.48,7.48,10.00,241.48,7.48,0.00,241.48,18.38,0.00,241.48,18.38,10.00
HeatTransfer Surface,ZN003:WALL015,Wall,,4,241.48,18.38,10.00,241.48,18.38,0.00,201.98,18.38,0.00,201.98,18.38,10.00
HeatTransfer Surface,ZN003:WALL015:WIN001,Window,ZN003:WALL015,4,240.88,18.38,7.50,240.88,18.38,4.50,204.88,18.38,4.50,204.88,18.38,7.50
HeatTransfer Surface,ZN003:WALL016,Wall,,4,201.98,18.38,10.00,201.98,18.38,0.00,201.98,5.98,0.00,201.98,5.98,10.00
HeatTransfer Surface,ZN003:FLR001,Floor,,16,201.98,5.98,0.00,201.98,18.38,0.00,241.48,18.38,0.00,241.48,7.48,0.00,235.38,7.48,0.00,235.38,10.28,0.00,230.08,10.28,0.00,230.08,5.08,0.00,224.08,5.08,0.00,224.08,8.08,0.00,218.18,8.08,0.00,218.18,4.58,0.00,212.88,4.58,0.00,212.88,8.98,0.00,207.28,8.98,0.00,207.28,5.98,0.00
HeatTransfer Surface,ZN003:ROOF001,Roof,,16,201.98,5.98,10.00,207.28,5.98,10.00,207.28,8.98,10.00,212.88,8.98,10.00,212.88,4.58,10.00,218.18,4.58,10.00,218.18,8.08,10.00,224.08,8.08,10.00,224.08,5.08,10.00,230.08,5.08,10.00,230.08,10.28,10.00,235.38,10.28,10.00,235.38,7.48,10.00,241.48,7.48,10.00,241.48,18.38,10.00,201.98,18.38,10.00
